Uninettuno_senseBox_1;1614428687.7154634;23.31;28.51;24.65;4637.49;E;E;QWVOQOTIMXRBOJOAWGFUIBCOBWNRGNAXEEMOTT9BFVGBA9RWHTLTTTCYNGXRFJYMOLASNOOXNIVG9B999
Uninettuno_senseBox_1;1614428798.695915;23.12;29.45;61.86;24.01;E;E;9VJKDZULCJYMJSRUHRSFAJRCSPJDEABPV9HJDZWRXS9BXJLBMKDEFXDYVAKYFETBI9DNEEQRH9NBKG999
Uninettuno_senseBox_1;1614428902.7020538;23.18;29.75;62.39;24.89;E;E;SMBHSUFXGCTWQHLQVWPPNWTQTHGIAPYPXRAXAAAYCHWPIT9B9DRZSLCJELBKHJJDOAHSZRESJKC9SM999
Uninettuno_senseBox_1;1614429010.970908;23.1;30.0;64.75;27.24;01338.21349;4318.98766;SNUMQLIKHHJYPLPRXYKQIAHMUCNTRGBIUVOWBUGTGRDHPQIWAGLUD9IZFKUCSSJBJSWFTPTMCWHPJD999
Uninettuno_senseBox_1;1614429108.9688647;23.17;30.08;68.22;27.63;01338.21187;4318.98871;H9KEKNIFBOHMJMNUM9GAZ9OCDXWPTPKZPQLWJASBULPSJZEZXQVWVPWZYJXBMAMOJAXOV9KUGPS9TH999
Uninettuno_senseBox_1;1614429209.9695785;23.1;30.48;69.85;28.67;01338.21229;4318.98968;MWQBH9WABZZIOCQZBWTLCNQRQQYPJDSULPOIQ9TACBFZPYOC9EHFNXLDMBN9SW9HSPXCKTKCCAACFI999
Uninettuno_senseBox_1;1614429312.9717493;22.9;31.33;69.3;30.12;01338.21148;4318.98614;NGTMSOAMVTSJILFZ9JQTNA9POWDUMTZSYDGUGVLDBRZMLOXYERQSCGSDUMFQGLGULKLT9RBRRRKLOR999
Uninettuno_senseBox_1;1614429425.9662745;22.9;31.69;74.34;31.28;01338.21069;4318.98844;YVXGTLRQQKIRBKKJWXKFBKEMOQOSCBYKQEXFIZLYDEQCADEVWIU9GNQWQ9VSWHHOMDBLUUFIUODMXS999
Uninettuno_senseBox_1;1614429534.7079563;22.89;31.78;69.43;30.94;E;E;LOLXUYKMKMSWEJQ9ZZTTKQRYBVWATRDTTTAUPMYXHIHINMBNXRHEXYXBZVZWVSBRO9IMOIAXZOLIEB999
Uninettuno_senseBox_1;1614429639.6893277;22.9;31.73;32.79;4638.16;E;E;SQLNLAFNHTGPNIGGARHVXGINJUF9WYFBGQZTPMUVCKBWTTRPZLE9SJTYWBKOTYATYTQ9UKVGEWAVJW999
